,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25
12720,-12.592157,19.320236,0.9487212,-2.684567,3.1384237,0.21300225,-0.15377527,-4.087074,4.7465425,-0.09115051,-3.4064863,0.16851325,-2.097189,-2.6952739,-3.3327217,-1.8414252,-1.7126222,-5.3234787,3.062216,-2.103428,0.51403236,1.0219221,0.9269086,-1.8462552,-0.2868833
12902,-8.2081,3.8579853,-8.99446,0.99521697,-4.4084873,-5.3940773,-1.8107513,2.9612658,-7.691092,4.644958,1.1745435,-0.13906473,1.7199423,-1.5865746,-1.1792829,-1.520098,-3.1163542,-2.963407,-3.3218195,0.9844955,-6.7975926,1.4060066,-1.7183311,-4.500542,0.76546174
12552,-7.1691513,2.7146409,0.99902767,-3.470169,-7.5805826,14.253673,-5.2382855,4.7646217,0.47633263,0.15708174,2.843647,-0.12021908,-1.5628462,-3.7533133,-2.2041743,0.08546455,3.1585286,-4.4656835,-4.0690002,2.2980351,4.5220995,1.8643665,-1.4683436,-0.3314015,4.7901845
12362,-6.9350257,-5.2463303,2.3113565,-5.105479,7.3051457,-1.3823146,-2.235544,-3.2357829,0.44857028,3.217324,-1.7133182,1.1857678,0.8557,-5.2329082,-2.1823452,8.750389,8.632528,-2.5799673,-4.4374347,-0.7435277,0.18675202,-5.863625,1.0870998,-5.221798,-2.087712
12427,-5.4152627,1.8754736,0.2543866,1.2150818,0.28212175,0.8663018,-4.2630286,0.20547913,1.4610747,4.8961425,-0.9886291,-4.1161623,-5.1832423,0.294828,2.991351,5.3737183,0.32781953,2.1135538,1.457766,5.783266,-3.3251848,3.7555814,0.9195868,0.927053,1.911202
12129,-6.6690507,-5.004067,-1.6115713,-1.5335497,6.91575,0.87028885,-1.3725036,2.207855,3.6286206,0.48073557,-0.30769363,3.8647902,-3.4640942,-1.7304716,2.1375144,-3.1480594,1.6501495,-2.1228218,2.9647539,0.34452075,0.13948725,-2.0992992,2.4873269,-0.36158007,-2.286518
12850,-6.498204,5.783611,5.666345,-2.078681,1.880589,1.263628,3.9445958,-7.206312,-0.6698208,2.733299,7.1398206,-0.2078854,-2.2762558,4.461976,-4.2321925,4.303872,0.9957901,-3.8307,5.628696,2.031664,-1.911914,-0.016692976,-2.432969,-3.4988341,-1.9599952
12373,-10.423161,8.439014,0.90855193,-1.9574183,-0.76143354,-1.5953577,-2.3901768,1.4791765,-1.0395057,-2.4221456,4.616868,4.5646954,0.3265757,2.3662605,-0.668249,4.4453816,2.7834928,-4.4345627,4.5155478,4.987018,-2.6730583,0.8997294,-3.585076,3.2050116,-5.0953507
12562,-5.483857,-3.8109932,-5.235378,0.3943559,-0.74977803,-0.21893555,-3.3236089,4.566809,3.3420944,-2.7469583,0.9440323,4.6401534,7.0427413,-1.5530341,-1.2933407,-2.5097437,7.7060976,0.13910837,-1.3879682,3.0237787,5.5112844,3.0441124,-0.54764944,3.225913,0.3802918
12243,-6.7530727,-0.48073757,-5.474421,-2.5679026,-1.0615169,-3.4007304,-5.4865403,0.56642795,-2.6743236,4.0661216,0.17711076,-6.707891,-0.28132248,2.1589487,-0.07533247,1.1545236,0.07559629,-3.0399635,-3.7990763,1.1234186,1.717852,-6.555495,1.2219793,-2.8514163,-0.80516183
12540,-12.68608,18.89463,1.338613,0.7988857,0.51819044,-0.7570042,-6.204808,-5.1350675,-0.39638,3.8908765,-3.8997092,-0.30320752,4.3086257,-1.4544641,-4.110336,-1.4469182,-0.369786,-0.88339007,0.3029037,-0.5905877,2.2371593,1.022498,0.36581722,2.7890196,2.9296923
12142,-5.039926,-0.3026444,1.5020492,-2.4718874,2.2646897,-1.8993248,-10.296041,-1.0076194,-7.1314297,-1.5096735,-2.629714,-1.6171277,-3.5092585,-4.4972296,0.98125005,9.070585,-0.9641245,-4.371456,-0.15136051,1.9065922,4.027703,1.8734119,0.18422922,0.087615706,5.755162
12168,-5.710686,0.51681066,3.1310742,2.81547,4.3265457,-4.1184573,-8.78236,3.3324404,-5.966773,3.9520993,0.17728212,1.2401527,2.5343146,-6.3939295,5.2544985,5.4498053,0.7634771,-1.1175283,1.1198847,6.5908823,-2.7324712,-1.2606208,2.9716327,-2.7980998,-1.4964012
12155,14.416879,-0.5594806,-0.10975591,-2.2364206,7.33832,-3.2537887,-0.6248278,1.5622647,4.3836823,4.640733,0.19629376,2.5486474,0.33885992,-2.9845314,-0.70948106,-2.018501,-1.8937849,2.7561717,1.1265007,2.7030737,0.38997704,0.7577368,-1.2124786,1.1943984,0.29162076
12571,-4.791167,-0.6903755,-0.38802212,-0.34064093,-1.2558833,-0.14749186,4.46324,5.490257,6.4224033,-3.636428,3.6380455,-3.7399225,4.3476777,2.8635983,-0.7094695,-4.8320723,4.253057,1.2171184,1.4303945,-0.3841349,1.1879998,-0.89879125,3.7480974,5.023647,-0.78972894
12752,-4.9176583,4.8959804,6.6767607,1.5028802,0.93154657,2.2517667,3.8368196,-4.13986,-2.9993973,-0.17778884,7.4443655,-0.18070443,-0.10573423,4.384357,-0.29652384,3.6640825,-0.49087578,-3.105166,5.2811484,-0.36184463,-0.9816421,2.1635456,-2.5765238,-3.144382,-5.9924464
