,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10
18272,11.941503,4.75973,-7.131474,-0.88083017,-4.5503554,-2.851455,1.0706078,2.7329118,-1.3894736,-0.657917
18248,-3.0130382,-3.0962143,-3.0026677,1.8011012,-2.638528,-1.8658673,5.66646,0.57428306,-0.56701136,-4.224262
18345,1.8438934,-4.3694925,4.4276686,15.8517,-4.848005,-5.127739,-2.5190008,1.9589182,3.7606328,2.6984866
18305,14.624116,1.8462698,0.5697612,-2.2561574,-2.5809298,-6.0232515,0.62863797,-2.210982,-2.6889312,-3.0874362
18359,-8.872146,5.2866926,-10.152442,-1.8157965,-3.6909537,-6.774422,0.61349845,4.3767734,-4.6948557,1.4818017
18107,-3.9645252,1.4655747,0.9118269,0.7335673,-0.7224328,4.5731854,7.731674,-7.512494,-4.3581867,-2.833259
19591,-11.331238,19.120588,1.0693842,-1.4202293,2.2051048,-0.5702371,-2.235522,-4.2168703,4.9020095,-1.269448
19195,-3.3685513,-3.4656305,2.900232,-1.8061507,9.368196,-1.0191995,3.604343,4.4207263,2.8836186,-1.0791047
19133,-6.8434954,-0.106576845,-5.6417146,-2.1747432,0.1954025,-0.45334464,0.71523345,-1.4348673,3.6637619,0.023443507
19347,-6.385732,7.976554,4.5279903,3.6923187,3.2271137,-0.5482987,9.847994,2.4416971,-9.461286,0.3648317
19642,-6.2868867,-5.0905967,-1.0846503,-1.290723,8.365132,-1.7076728,-3.2655048,1.2478269,-2.6996517,-3.1598852
19574,-12.606076,18.718025,0.96699184,0.95177364,0.09261185,-0.7282312,-6.716034,-6.9102054,1.8483564,0.57003736
19540,-5.9902663,-3.6432245,3.0572352,-0.611415,3.304029,6.3262477,7.6924095,1.2094557,-2.6456807,1.9672793
11134,-8.4494705,2.3156924,2.8870788,-3.3111715,-5.3554773,9.452514,-3.541066,-1.4016399,3.168843,2.7866
11517,-5.155534,-7.9561954,-2.3998237,0.06972736,6.275769,1.061475,5.282161,-1.82366,-4.1039433,0.028217329
10901,-6.305664,-6.689605,-8.70453,-0.116580926,1.6551785,-1.2727863,-6.9594307,-0.8750566,-3.5803611,-0.59651554
10921,13.48535,3.0083523,8.276497,-5.0381527,1.0355856,-3.3931513,-0.43424904,2.039063,-2.7181382,2.1493478
11425,-5.792531,-4.9263573,7.1234574,-5.7978272,-0.6528705,-2.4948952,-4.398384,-2.922759,4.20029,-5.8094954
11248,-6.3221517,-6.233478,1.0235746,-2.6040545,5.8439784,-0.7223472,-1.3269745,-1.1458548,0.5584478,-0.7659142
11544,-6.86878,-4.7772355,-3.255507,-1.4633689,-6.078165,4.173468,-2.9925308,-3.6376975,3.822292,-2.8591182
11078,-1.476744,-1.0278202,0.22246319,2.3561316,3.7214744,4.1894164,-1.4609964,-3.0719934,0.9686164,-0.70074385
11278,-6.5743356,0.18939944,-2.4603324,0.4913379,-4.2121787,6.731469,9.626637,5.908369,-0.84373456,2.9027255
11062,-7.473275,5.3787303,0.4486555,-1.3900383,-7.787825,10.59439,-9.123185,7.689755,-4.20358,8.480765
11357,-2.869615,-5.454371,4.6226683,-1.1690888,0.89584017,-4.643027,-1.2434376,-1.3799391,1.8564425,9.804033
11417,-6.403234,-1.7588478,-2.4991703,-1.8288481,7.7705584,-2.594333,-0.21582372,6.239638,3.2163403,-3.1032212
10941,-6.0611715,-2.7299275,-3.9247854,-3.4282734,-3.6269867,8.631899,3.8612905,-3.577749,1.3814775,2.597714
11233,14.119677,0.5826474,1.3981166,-2.1184704,4.0188193,-5.6573935,-2.2552304,2.2028067,-5.2252407,-4.3424706
13590,-3.9494216,3.0224106,12.43842,-4.368889,-4.600123,-6.790426,6.1835966,4.7412295,-2.1760755,-4.672813
13539,-4.7276745,1.6517545,-4.01119,1.9348767,-3.2749379,-1.3674423,4.254117,3.3632808,2.7675602,2.7404132
13449,-6.224427,-4.009137,1.786597,-5.341611,6.843667,3.4444246,-8.049425,4.745523,1.0070796,5.101775
13645,-3.1625075,1.5003252,2.4517567,3.837762,3.2622054,1.5501363,10.635674,1.5916018,0.4082778,6.07597
13466,-4.4160333,-2.6039429,10.460696,-5.6985736,-5.0646815,6.0458155,8.962294,2.966519,-3.0120912,1.9458517
13728,-4.527734,-6.4075427,6.0693846,-3.7683582,1.0012888,7.544459,8.287098,2.1746886,-0.10281781,1.7434236
13805,14.163993,1.186866,-1.8348566,-1.3569937,0.010477399,-2.4576342,-0.6701331,2.5069408,-0.6809663,-2.1469796
13654,11.183305,9.226051,-2.6502414,-1.0645558,0.42301548,-3.1063485,0.85350525,1.5714787,0.5417565,4.117619
