,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29,pc_30,pc_31,pc_32,pc_33,pc_34,pc_35,pc_36,pc_37,pc_38,pc_39,pc_40,pc_41,pc_42,pc_43,pc_44,pc_45,pc_46,pc_47,pc_48,pc_49,pc_50
129,-5.112704,0.862995,-2.3252673,3.284233,-3.4564445,4.021488,-0.89387894,-3.094609,-4.15934,-2.152735,1.4556445,6.885897,-8.374871,4.1193027,2.4737425,1.6928072,2.061965,5.653231,-1.1786985,-0.27356464,-9.0591064e-05,-1.9659574,1.296974,-0.023055414,1.3376652,0.924996,1.8343729,5.8806157,3.3441236,-0.7528989,0.33438823,1.0480677,0.8773727,2.2004645,-2.0209384,-2.634879,-4.118064,0.938483,-2.0077176,-0.22916467,1.7671244,-1.2150111,1.4184085,-1.8362467,2.1067495,-3.4952662,-0.13257799,-1.6374576,-1.3745489,-0.10002694
20705,-3.1154056,-1.234124,3.6676466,-2.4069088,-0.9945475,5.1130295,-6.098555,-2.0643127,-2.0786777,-2.5644524,-6.6957483,-6.618831,-1.3134736,2.327647,4.336931,-0.19894941,1.1264892,-1.5201967,-0.017371522,0.5753172,1.0063069,0.056460023,-4.6897483,5.4047117,-5.9931045,-3.094433,2.0795,0.7668082,-1.0420521,2.143622,-1.2039834,3.1671202,2.5197124,-1.2718548,2.4552796,-2.0955396,-1.7608202,-2.076414,-2.2084606,1.0805707,5.1556287,0.79690224,-3.2785978,-0.37813902,-0.4799192,-0.17328696,-0.9727368,-1.9134907,-1.4594799,2.019496
20665,7.6793637,7.834392,-1.0602419,2.5773923,0.44559678,0.44540894,-0.07375552,-1.1974466,-1.8538877,-1.7212579,-0.95805866,-0.5375954,0.42500782,4.142373,-0.0126963435,2.8173857,2.9312248,-1.7916807,-1.2874948,1.6353158,-1.1949435,-0.29295084,0.19123915,-0.84139407,1.7951562,-3.4270356,-3.118025,3.6836793,-0.6140306,0.93502057,1.7433292,1.4850689,2.285007,-1.569917,0.64174616,5.4322624,-0.60873324,-1.8230481,4.478513,0.7469112,-0.15873812,-0.38994113,1.486573,0.41715297,-1.9222492,0.792821,3.539823,-0.8412687,-3.418002,1.2797472
20649,-2.1884515,-2.0162284,3.030729,-0.5327531,0.28217173,9.029705,-2.3948357,9.347269,-0.9035646,-6.2708635,-0.7067353,-5.1890907,3.8635314,-2.8952944,1.1333566,6.5275087,-1.855135,-0.3795091,-1.7128019,-0.77668494,-1.9127244,-5.0901303,5.3370047,-0.6496776,-0.38916576,1.2059754,0.051410004,0.36366954,3.683543,3.2207017,-3.7707534,4.170299,-2.3076606,-0.2695633,-2.2878137,3.3999279,1.1416192,-0.18940558,-3.158769,-0.98241204,1.8336439,-1.3254498,5.3586354,3.7491806,-1.7311888,1.0838578,2.7642608,3.2570763,2.6469903,1.0747156
20673,-11.093131,18.743328,1.4559728,-0.38277596,2.367634,-0.9957177,-2.7183862,-1.4417313,0.8670435,3.4027739,-5.458514,-5.27471,-0.39999875,1.9979821,-0.9588856,-2.283447,-2.1138794,1.6084625,-0.9027805,-3.197415,2.809631,0.5056781,3.3564847,2.6822824,-2.1822567,-2.0969658,0.14255202,-0.4374215,-0.8407543,-0.28942376,-0.72287744,-1.6387,-0.63350296,-2.5496652,1.3339632,-0.2417076,2.1821208,1.5340978,1.992839,2.0351593,1.0238128,0.7255892,-1.74509,-1.1380522,1.2514683,-0.7816739,-0.8670954,-2.7847128,-1.5933499,2.281702
20653,-0.18336226,-2.2147946,2.9661741,-0.027446374,-2.3336458,-4.27028,2.987292,4.8119497,2.56343,-5.3998604,0.05516638,-5.8109517,7.6680565,3.5980418,0.16671556,-0.47552922,-1.5223881,-0.031556703,-1.5902224,-1.9881047,-1.6820601,0.91140515,1.8598628,2.7772923,0.33181196,-1.2192173,-2.405154,1.9348004,-0.6345111,2.3236828,-0.9260784,3.203046,-1.3331788,-1.2127064,4.1783867,-1.4092357,-2.9652119,-1.4401771,0.78287375,3.045282,-0.17678453,3.9804015,-0.734798,2.135314,-0.04615191,2.2344341,0.9708295,-3.061773,-0.53523237,-0.15372723
20658,-2.05855,-5.595685,4.812793,2.6043732,1.3588513,7.027254,-6.800423,2.1235213,-0.0070349113,-6.304899,-0.36146316,-0.8207334,0.15391868,4.606043,2.4862766,4.776126,-6.489506,3.4800673,-0.51659626,0.94709915,2.8521996,0.42589787,2.9968238,2.6785486,-0.04707522,2.9882097,-1.1963193,-3.9715583,-0.54374987,-2.7224202,2.5936751,0.46396312,-2.8807971,0.8383272,4.74907,2.8796823,0.3994797,0.67090607,0.43041754,-1.4096521,-3.974072,2.4912412,1.9869685,-4.0613365,2.6058395,-0.183103,1.2968247,-3.4924638,1.353837,-1.7982217
20720,-9.353593,19.424635,2.3215435,2.0153413,3.9986575,-0.7070205,3.9161468,2.1146479,4.226586,-2.606239,-2.5299613,-6.370955,0.7612728,0.19409087,0.9024704,-1.8860335,-1.7452468,2.8294964,-1.3888043,-2.5654294,1.6565304,-0.7854545,2.1166418,-0.4328855,-1.8678321,0.42613754,-0.52344316,-0.5971989,1.3081462,0.6327302,-2.7779455,0.74360895,-0.22442083,2.40457,0.059887532,-1.1137148,-1.4231374,-0.6506727,-1.5278593,-0.58115053,-0.32956442,-1.0424035,1.0662392,1.4494779,-1.8603086,1.7646563,-0.6945826,-0.86751944,-2.2492065,1.2154316
12797,-4.1621146,-3.4783247,0.25731382,1.1635797,3.437957,5.7943487,1.7344425,2.0580332,-2.4466124,-1.9996805,-1.6854558,4.3494663,2.0474994,-1.0825269,-7.957362,4.2136602,-3.5746317,-1.2948592,4.4214373,-1.850628,-0.43045855,-2.0469978,4.08433,-3.559036,-0.16472808,1.4122146,2.5536053,-0.2993052,2.9715266,-1.931645,1.9889718,2.836631,-0.07095102,-0.32550788,0.60611206,0.045320023,0.77589935,-2.7333813,-1.8172016,0.7687623,-0.58093417,-2.0351667,0.7369524,0.7830737,0.18194784,1.6828394,0.8814552,1.993575,2.2983158,2.0893261
12720,-12.592157,19.320236,0.9487212,-2.684567,3.1384237,0.21300225,-0.15377527,-4.087074,4.7465425,-0.09115051,-3.4064863,0.16851325,-2.097189,-2.6952739,-3.3327217,-1.8414252,-1.7126222,-5.3234787,3.062216,-2.103428,0.51403236,1.0219221,0.9269086,-1.8462552,-0.2868833,3.4856133,-2.8446462,2.0193956,-2.3734658,-2.9256744,-0.030375866,-1.1994652,-0.66247255,-1.6648157,5.473261,0.8424001,-0.42299062,-0.7766782,-0.39979798,1.3392787,-3.263255,-0.5742169,0.41024217,-0.66325593,0.006176555,-2.0369463,0.8290298,-0.11152982,-0.5486242,0.7603103
12902,-8.2081,3.8579853,-8.99446,0.99521697,-4.4084873,-5.3940773,-1.8107513,2.9612658,-7.691092,4.644958,1.1745435,-0.13906473,1.7199423,-1.5865746,-1.1792829,-1.520098,-3.1163542,-2.963407,-3.3218195,0.9844955,-6.7975926,1.4060066,-1.7183311,-4.500542,0.76546174,1.2814245,-1.1139593,-4.061831,-3.1152723,0.2039773,1.6750426,3.5524204,3.0513544,1.5427511,-1.3400224,1.0766968,-1.053615,-1.1010046,-0.15929066,0.3324058,-3.436294,2.1662023,-4.6977715,2.184688,1.1942434,-0.57589513,-1.0919508,-0.81109124,-0.53560555,-3.7221286
12552,-7.1691513,2.7146409,0.99902767,-3.470169,-7.5805826,14.253673,-5.2382855,4.7646217,0.47633263,0.15708174,2.843647,-0.12021908,-1.5628462,-3.7533133,-2.2041743,0.08546455,3.1585286,-4.4656835,-4.0690002,2.2980351,4.5220995,1.8643665,-1.4683436,-0.3314015,4.7901845,-3.260007,3.0450075,-1.1206121,6.200342,6.6374235,-0.21268216,-1.1261964,1.7936836,0.02414697,1.8616308,-4.3340635,-0.050421547,-1.2735971,-3.3101778,-0.7558366,-5.390614,2.9339778,0.74703515,2.4076405,1.3581238,-1.3564459,-1.1787065,0.2656096,0.7668388,0.61127716
12362,-6.9350257,-5.2463303,2.3113565,-5.105479,7.3051457,-1.3823146,-2.235544,-3.2357829,0.44857028,3.217324,-1.7133182,1.1857678,0.8557,-5.2329082,-2.1823452,8.750389,8.632528,-2.5799673,-4.4374347,-0.7435277,0.18675202,-5.863625,1.0870998,-5.221798,-2.087712,2.240234,-2.4298468,-4.6606216,-1.7290782,-1.9438809,0.079389,1.8030955,-2.3813577,-0.111508176,2.797451,-0.77517986,-0.8626653,-1.4393145,-0.048914403,-2.9717855,1.4649608,-1.4259026,0.47292483,2.604198,-0.18704298,-0.23822875,0.048183557,-0.27885816,1.8351613,-1.2211951
12427,-5.4152627,1.8754736,0.2543866,1.2150818,0.28212175,0.8663018,-4.2630286,0.20547913,1.4610747,4.8961425,-0.9886291,-4.1161623,-5.1832423,0.294828,2.991351,5.3737183,0.32781953,2.1135538,1.457766,5.783266,-3.3251848,3.7555814,0.9195868,0.927053,1.911202,-0.6565336,-2.406292,-0.27738035,3.1448298,3.3967612,-1.7956858,1.2140615,1.5760809,4.75338,-2.5766447,-2.401084,-4.2671404,-3.2536767,-1.4491018,-0.52474225,-0.4662894,1.0519779,0.17975794,4.2808046,-2.474485,-3.1774793,-2.3803623,-3.3580985,-1.5167582,2.7910964
12129,-6.6690507,-5.004067,-1.6115713,-1.5335497,6.91575,0.87028885,-1.3725036,2.207855,3.6286206,0.48073557,-0.30769363,3.8647902,-3.4640942,-1.7304716,2.1375144,-3.1480594,1.6501495,-2.1228218,2.9647539,0.34452075,0.13948725,-2.0992992,2.4873269,-0.36158007,-2.286518,-0.3397825,3.3499265,0.24385357,1.7831045,0.1355591,-0.45071644,-2.2564266,1.9194093,0.11340764,0.7412799,1.3159003,-3.5370643,0.14480552,-2.1199372,0.8547487,-0.23750502,-2.7444928,0.5288836,2.1160984,1.1964645,0.09957171,-0.6392832,-0.842113,-2.2224364,0.22952506
12850,-6.498204,5.783611,5.666345,-2.078681,1.880589,1.263628,3.9445958,-7.206312,-0.6698208,2.733299,7.1398206,-0.2078854,-2.2762558,4.461976,-4.2321925,4.303872,0.9957901,-3.8307,5.628696,2.031664,-1.911914,-0.016692976,-2.432969,-3.4988341,-1.9599952,2.5654597,-2.1727011,-0.8327425,-1.2657621,1.1958988,2.7203186,-3.9007444,-1.182982,-3.5914364,2.871557,-0.9445757,1.0337366,0.99427253,0.07375395,1.6183181,-0.520262,2.5037034,3.2595313,-3.351518,5.340306,-0.9324909,-1.4898798,3.0030484,1.5789346,-1.0518683
12373,-10.423161,8.439014,0.90855193,-1.9574183,-0.76143354,-1.5953577,-2.3901768,1.4791765,-1.0395057,-2.4221456,4.616868,4.5646954,0.3265757,2.3662605,-0.668249,4.4453816,2.7834928,-4.4345627,4.5155478,4.987018,-2.6730583,0.8997294,-3.585076,3.2050116,-5.0953507,4.2553267,-0.7385256,-1.9910059,3.305064,1.0600053,0.90797526,-1.329771,2.8530211,1.729346,0.7712671,-1.321639,1.4345777,8.482005,1.7040949,-0.9166407,-0.65858144,5.2267,-1.5333853,1.0873641,-2.7036655,2.0383644,-4.082073,-0.9469001,1.3506011,-3.9085684
12562,-5.483857,-3.8109932,-5.235378,0.3943559,-0.74977803,-0.21893555,-3.3236089,4.566809,3.3420944,-2.7469583,0.9440323,4.6401534,7.0427413,-1.5530341,-1.2933407,-2.5097437,7.7060976,0.13910837,-1.3879682,3.0237787,5.5112844,3.0441124,-0.54764944,3.225913,0.3802918,-2.3275306,2.2312999,-4.567059,4.3267713,3.5100198,-0.42352772,-2.7991881,0.8999273,-2.3789473,0.6769316,1.5795748,-0.35275978,-3.0511107,-5.1380515,5.21358,-1.6007528,2.3452466,1.6694919,0.8283734,2.9066377,-1.1419356,0.3790455,-1.99539,1.7790335,-0.76995766
12243,-6.7530727,-0.48073757,-5.474421,-2.5679026,-1.0615169,-3.4007304,-5.4865403,0.56642795,-2.6743236,4.0661216,0.17711076,-6.707891,-0.28132248,2.1589487,-0.07533247,1.1545236,0.07559629,-3.0399635,-3.7990763,1.1234186,1.717852,-6.555495,1.2219793,-2.8514163,-0.80516183,-1.9474128,3.5365162,1.088777,-0.7798862,1.8104429,2.9229116,-1.4587058,0.30176395,1.6013892,-1.1235925,2.543908,-2.5267146,2.837679,0.8605484,-2.6858501,0.16770472,-0.3942852,0.9438248,-2.8342564,-1.6672857,-3.2840743,-0.13761924,-1.6418684,0.98273766,0.13349937
12540,-12.68608,18.89463,1.338613,0.7988857,0.51819044,-0.7570042,-6.204808,-5.1350675,-0.39638,3.8908765,-3.8997092,-0.30320752,4.3086257,-1.4544641,-4.110336,-1.4469182,-0.369786,-0.88339007,0.3029037,-0.5905877,2.2371593,1.022498,0.36581722,2.7890196,2.9296923,0.48171878,1.3533404,0.277834,1.4169664,0.6976718,-0.19584228,1.342346,-2.4996786,2.155364,0.90846324,-1.6273015,-0.63835466,0.65379035,-0.1677818,1.4464426,1.3578281,1.3180529,-0.5487563,0.32331744,-4.3073974,2.9116962,0.40443182,-1.6631021,-1.6432766,-2.6313589
12142,-5.039926,-0.3026444,1.5020492,-2.4718874,2.2646897,-1.8993248,-10.296041,-1.0076194,-7.1314297,-1.5096735,-2.629714,-1.6171277,-3.5092585,-4.4972296,0.98125005,9.070585,-0.9641245,-4.371456,-0.15136051,1.9065922,4.027703,1.8734119,0.18422922,0.087615706,5.755162,-2.3669894,1.3949951,3.5121567,2.4622386,-0.20738132,-0.6402203,3.602747,0.09146636,4.987409,3.3886793,-0.14060846,1.5372235,-2.6383085,-1.3632162,2.7129674,2.9017196,1.7661511,1.539241,-0.37603536,-2.226517,-0.76618767,0.95519555,-0.19145477,2.6450932,0.12019116
